관리번호,부문,작품번호,작가명,생몰연도,명제,제작년도,규격(㎝),소장일자,기법 및 재료
1,한국화,K0-1,김범석,1964,모악별곡,2004,280×700,2005-01-05,"한지에 먹, 호분"
2,한국화,K0-2,조병철,1963,모악-바람,2004,280×635,2005-01-05,광목천에 먹
3,한국화,K0-3,박종갑,1968,행려-구이를 바라보다,2004,280×700,2005-01-05,장지에 수묵
4,판화,DP-1,홍선웅,1952,모악연작 화첩,2004,55×47(×9),2005-01-05,먹판화
5,판화,DP-2,오경영,1957,숨결-어린아이 1,2004,180×136,2005-01-05,목판화
6,회화,PA-1,나종희,1951,들불,1995,91×179,2005-01-05,캔버스에 유채
7,조각,SC-1,강관욱,1945,구원 92-1,1992,38×24×56,2005-01-05,오석
8,회화,PA-2,김용봉,1912,가을풍경,1993,53×65,2005-01-05,캔버스에 유채
9,서예,CA-1,이용,1948,모악,2004,135×102,2005-01-05,종이에 먹
10,서예,CA-2,여태명,1956,천지인 040921,2004,150×210,2005-01-05,장지에 수묵
11,서예,CA-3,김두경,1960,나는 김제 만경의 고봉밥이다,2004,380×250,2005-01-05,한지에 먹과 주묵
12,서예,CA-4,김병기,1955,모악산 정기의 확인,2004,203×134,2005-01-05,종이에 먹
13,판화,DP-3,홍선웅,1952,모악연작-1. 모악산,2004,48×39,2005-01-05,먹판화
14,판화,DP-4,홍선웅,1952,모악연작-2. 승무,2004,48×39,2005-01-05,먹판화
15,판화,DP-5,홍선웅,1952,모악연작-3. 금산사,2004,48×39,2005-01-05,먹판화
16,판화,DP-6,홍선웅,1952,모악연작-4. 금산사 미륵본존불,2004,48×39,2005-01-05,먹판화
17,판화,DP-7,홍선웅,1952,모악연작-5. 정여립,2004,48×39,2005-01-05,먹판화
18,판화,DP-8,홍선웅,1952,모악연작-6. 원평장터,2004,48×39,2005-01-05,먹판화
19,판화,DP-9,홍선웅,1952,모악연작-7. 천지굿,2004,48×39,2005-01-05,먹판화
20,판화,DP-10,홍선웅,1952,모악연작-8. 내가 지금 서 있는 자리,2004,48×39,2005-01-05,먹판화
21,판화,DP-11,오경영,1957,숨결-어린아이 2,2004,21×75,2005-01-05,목판화
22,판화,DP-12,강행복,1952,미륵신앙도량 금산사,2004,90×60,2005-01-05,목판화
23,판화,DP-13,류연복,1958,빈들생명-엄뫼,2004,63×123,2005-01-05,다색목판
24,판화,DP-14,류연복,1958,빈들생명-딛고선땅,2004,44×123,2005-01-05,다색목판
25,조각,SC-2,강관욱,1945,구원 95-12,1995,46×36×72,2005-01-05,테라코타
26,회화,PA-3,송필용,1959,흐르는 물처럼-생명의 순환,2004,259×150,2005-01-05,캔버스에 유채
27,회화,PA-4,송필용,1959,흐르는 물처럼-생명의 순환,2004,259×162,2005-01-05,캔버스에 유채
28,회화,PA-5,나종희,1951,모악,2004,240×500,2005-01-05,캔버스에 아크릴릭
29,서예,CA-5,邱振中,1947,왕창령시,1997,140×70,2005-01-05,종이에 먹
30,서예,CA-6,王冬齡,1945,이백시,1997,180×90,2005-01-05,종이에 먹
31,서예,CA-7,師村妙石,1949,삼국지구,1997,190×50,2005-01-05,종이에 먹
32,서예,CA-8,杜忠誥,,칠언율시,1997,140×75,2005-01-05,종이에 먹
33,서예,CA-9,김종범,1939,김시습시,1997,200×78,2005-01-05,종이에 먹
34,서예,CA-10,이지연,1936,창송,1997,190×70,2005-01-05,종이에 먹
35,서예,CA-11,정도준,1948,신흠선생구,1997,207×45(×2),2005-01-05,종이에 먹
